id,source,type_of_material,web_url,snippet,headline,created_time,news_desk
1149,The New York Times,Op-Ed,https://www.nytimes.com/2022/01/31/opinion/crypto-nfts-inequality.html,"To digital natives, crypto as a path to financial security just sounds sensible.",Wealth Inequality Drives the Appeal of Crypto,1/31/2022 20:25,Financial 
1150,The New York Times,Op-Ed,https://www.nytimes.com/2022/01/31/opinion/crypto-nfts-inequality.html,"To digital natives, crypto as a path to financial security just sounds sensible.",Wealth Inequality Drives the Appeal of Crypto,1/31/2022 20:25,Bitcoin Article
1151,The New York Times,News,https://www.nytimes.com/2022/01/31/world/canada/trudeau-truckers-anti-vax-protests.html,"The Canadian prime minister, who tested positive for Covid-19, railed against protesters for violence, racism and spreading misinformation.",Justin Trudeau Condemns Convoy Protesting Pandemic Restrictions,1/31/2022 21:28,Business
1152,The New York Times,News,https://www.nytimes.com/2022/01/31/business/media/new-york-times-wordle.html,"The word game, released in October, has millions of daily users.",The New York Times Buys Wordle,1/31/2022 21:30,Business
1153,The New York Times,News,https://www.nytimes.com/2022/01/31/us/politics/biden-qatar-nato.html,The move clears the way for greater security cooperation and investment at a time when President Biden is seeking help boosting natural gas supplies in Europe.,Biden Designates Qatar as a Major Non-NATO Ally,1/31/2022 21:55,Business
1154,The New York Times,News,https://www.nytimes.com/2022/01/31/world/europe/putin-sanctions-list.html,The Biden administration said the penalties would exceed any levied recently against Russia. It is unclear whether the list of targets includes Vladimir V. Putin himself.,The White House threatens sanctions against Putin’s ‘inner circle’ if Russia invades Ukraine.,1/31/2022 22:07,Financial 
1155,The New York Times,News,https://www.nytimes.com/2022/01/31/business/economy/fed-inflation-economy.html,Central bankers on Monday emphasized that conditions are better than they were the last time they backed off their efforts to prop up the U.S. economy.,Fed Officials Make It Clear: This Time Is Different,1/31/2022 22:36,Financial 
1156,The New York Times,News,https://www.nytimes.com/2022/01/31/business/economy/fed-inflation-economy.html,Central bankers on Monday emphasized that conditions are better than they were the last time they backed off their efforts to prop up the U.S. economy.,Fed Officials Make It Clear: This Time Is Different,1/31/2022 22:36,Business
1157,The New York Times,briefing,https://www.nytimes.com/2022/01/31/briefing/russia-ukraine-boris-johnson-lunar-new-year.html,Here’s what you need to know at the end of the day.,"Russia-Ukraine, Boris Johnson, Lunar New Year: Your Monday Evening Briefing",1/31/2022 22:37,Financial 
1158,The New York Times,News,https://www.nytimes.com/2022/01/31/nyregion/thomas-barrack-trump.html,"Thomas J. Barrack Jr., who is charged with illegally lobbying then-President Donald J. Trump, suggested that the delay in his prosecution was politically motivated.",Indicted Trump Ally Says Prosecutors Stalled Case Until After Election,1/31/2022 22:43,Business
1159,The New York Times,News,https://www.nytimes.com/2022/01/31/briefing/coronavirus-briefing-nyc-recovery.html,"The city’s rebound has been slow, and unequal.",Coronavirus Briefing: N.Y.C.’s Lopsided Recovery,1/31/2022 22:46,Business
1160,The New York Times,Op-Ed,https://www.nytimes.com/2022/01/31/opinion/republican-misinformation-coronavirus.html,"The push to make Americans’ lives nasty, brutish and short.","Guns, Germs, Bitcoin and the Antisocial Right",2/1/2022 0:00,Financial 
1161,The New York Times,News,https://www.nytimes.com/2022/01/31/us/politics/trump-campaign-filing.html,The former president’s overall war chest was more than double the cash on hand of the Republican National Committee.,Trump Entered 2022 With $122 Million in the Bank,2/1/2022 0:57,Business
