,Tweet,Create_Date,Geo,id
43,We took r #dog #sailing 4 2 yrs Read how! https://t.co/i60YnGosFx #provo #bahamas #Puertorico #DominicanRepublic #virginislands @amazon,2017-06-23 00:01:53+00:00,,8.78E+17
44,RT @ComedyCentral: It’s been a few years but still weird when people take pic w  iPad. We didn’t have one back then- had disposable,2017-06-23 03:35:30+00:00,,8.78E+17
45,We want @broadcity #writers 4 r #raunchy #chick #sailing #comedy. They ROCK,2017-06-23 03:37:59+00:00,,8.78E+17
46,@SarahKSilverman l just heard my sister laugh... @Netflix #Silvermansarefunny!,2017-06-23 22:36:21+00:00,,8.78E+17
47,Hi All! Starting today I am sending invites to my first 50 page likes to download the book from my new gmail... https://t.co/Q6xG2R4fRJ,2017-06-23 23:04:37+00:00,,8.78E+17
48,RT @Variety: #RoughNight is a perfect example of why Hollywood needs (many) more women filmmakers. See our full review here: https://t.co/S…,2017-06-25 03:42:19+00:00,,8.79E+17
49,#roughnight is exactly what we are going for! #fearless #comedy,2017-06-25 03:45:31+00:00,,8.79E+17
50,Great night at the Unofficial Plan B book launch culminating at Barnes &amp; Noble. Thank you all for a memorable night!,2017-06-25 22:29:56+00:00,,8.79E+17
51,Check out my author page @ this: https://t.co/4O7cO5Qbcn via @amazon thanks Carol W. for the tips,2017-06-28 00:46:45+00:00,,8.80E+17
52,Love the new @starbucks @ASU benefits program. #proudalumni https://t.co/nbiNb8BwWK,2017-06-30 00:46:20+00:00,,8.81E+17
53,RT @JuddApatow: I will wear that at the Boston show. https://t.co/8FtfCacZm5 this former Boston gal loves your work!,2017-06-30 00:48:44+00:00,,8.81E+17
54,Happy Friday!  #FtL airport safe travels #happy4th https://t.co/1giuEKimGv,2017-06-30 22:42:56+00:00,,8.81E+17
55,Congrats Lorraine from #Tampa! Pass it on and don’t forget social love on @Amazon,2017-06-30 22:57:52+00:00,,8.81E+17
56,#howdy! From #planB in #Houston thx @SouthwestAir https://t.co/z9Gyx8GLF1,2017-07-01 03:12:09+00:00,,8.81E+17
57,"Wherever u r, whatever u r reading, have a #happy4th @BNBuzz https://t.co/fly4AdbWhc",2017-07-02 23:19:51+00:00,,8.82E+17
58,"Hand delivering a signed book for our talented former LA neighbor, Rose Masterpol - Abstract Painter at her... https://t.co/witw9ovza0",2017-07-03 20:41:30+00:00,,8.82E+17
59,The first book trailer is out! Whaddya think? https://t.co/4ASQOX4By5 https://t.co/aOthSzV5nS,2017-07-08 19:23:28+00:00,,8.84E+17
60,"""Stephanie's account is hilarious, heartfelt and humbling. I could not put this book down...""Susie T. of Austin,... https://t.co/1orS2vAwu6",2017-07-14 22:54:21+00:00,,8.86E+17
61,https://t.co/GqFmyNMO8d,2017-07-19 00:23:28+00:00,,8.87E+17
62,#myfamilyisweird that's why we packed up our dog &amp; sailed away for 2 yrs. OK so we got hit by lightning. @jimmyfallon want a copy? #newbook,2017-07-19 22:22:56+00:00,,8.88E+17
63,"Our #book #coauthorship process? @bookclubgirl Good question. What do you say to that, Bubbles? @csamuels13 #patience haha",2017-07-19 22:53:19+00:00,,8.88E+17
64,"@BarackObama 1 of r treasured followers!  Want print version #PlanB, my new #funny #sailingwithyourdog #book? good laughs &amp; pet travel tips",2017-07-19 22:58:07+00:00,,8.88E+17
65,Here’s my new longer #book trailer video @ #sailing with our dog https://t.co/Q0drsVvurO,2017-07-20 13:44:26+00:00,,8.88E+17
66,Here's the new book trailer. https://t.co/Q0drsVvurO https://t.co/CaQkeRfTY5,2017-07-22 22:00:04+00:00,,8.89E+17
67,Congrats to my bud @BIGKUSHJAY for amazing #MarriedtoMarijuana his new tell all #book - so good it needs a soundtrack!,2017-07-28 21:13:25+00:00,,8.91E+17
68,If you liked our new #travel #memoir you'll love the new one #M2M from one of the best DJ's @BIGKUSHJAY,2017-07-31 20:22:33+00:00,,8.92E+17
69,thx @RT indomitable_mom 4 sharing: @ketel23: @JimGaffigan want the feel of owning a boat? Stand in shower with clothes on &amp; rip up money,2017-08-01 19:11:16+00:00,,8.92E+17
70,@ketel23 Cruising on a boat=Fixing your boat in exotic locations..,2017-08-01 19:12:23+00:00,,8.92E+17
71,#LA launch #laborday2017 Feeling Grateful,2017-08-05 15:08:28+00:00,,8.94E+17
72,@BOceanResort thx Alex Stephanie Joe &amp; amazing team for all your help -We got our keys! 😘🙏 https://t.co/UJjbrsLXd5,2017-08-05 19:21:05+00:00,,8.94E+17
73,"Had to share this nice comment from a Hayden Houser, yacht broker fan and reader...""I just have to give kudos to... https://t.co/6DlmJnUn9W",2017-08-05 19:24:42+00:00,,8.94E+17
74,Have you ever played the #boat name game? Just add #anal to the name of any boat. Just saw Anal Sea Tramp here in town. Beat that!,2017-08-05 21:09:01+00:00,,8.94E+17
75,Next stop on the tour... #LA Labor Day weekend!,2017-08-11 22:29:25+00:00,,8.96E+17
76,Next stop on the tour... #LA Labor Day weekend! — feeling excited,2017-08-11 22:31:25+00:00,,8.96E+17
77,@EWTinaJordan @EW great list but you forgot one! My #sailing with our #dog memoir #Fun reads for summers final days p106,2017-08-21 22:46:52+00:00,,9.00E+17
78,"RT @nytimesbooks: Tech experts say the books could prove an effective way to recruit future coders, particularly girls https://t.co/ISPLTF5…",2017-08-21 23:05:40+00:00,,9.00E+17
79,"RT @BookBub: 19 New #Thrillers to Read Based on Your Favorites
https://t.co/WypKt6VeLG incl. @riley_sager https://t.co/lP4Ix6onLy",2017-08-21 23:05:59+00:00,,9.00E+17
80,@EW #sailing with our #dog memoir #Fun reads for summers final days. Read the story of how I ended up working for @ANTMVH1 https://t.co/dLfxZHnyni,2017-08-22 00:35:33+00:00,,9.00E+17
81,@ThatKevinSmith  is coming Sept. 28 #superfunny @improv #FL https://t.co/thLHfPWcOn,2017-08-24 22:44:44+00:00,,9.01E+17
82,“the year of Bridget!” @EW @bridgeteverett congrats! Yaaaaaaas,2017-08-28 23:01:46+00:00,,9.02E+17
83,#Laborday2017 #LA — feeling grateful,2017-08-30 00:15:10+00:00,,9.03E+17
84,This 91 year old friend told me she is enjoying my story. https://t.co/G8IoHN1SG5,2017-09-02 01:23:03+00:00,,9.04E+17
85,So excited #LoveYouMore is coming out soon @amazon @bridgeteverett is the best- it’s about time everyone else learns her name!,2017-09-02 16:30:45+00:00,,9.04E+17
86,Here during #FleetWeek for #LA book launch. Is that perfect or what? Wish @workplayeverywh was here!!!!! https://t.co/cuXbHZ0FAh,2017-09-02 16:32:46+00:00,,9.04E+17
87,@CafeGratitude #LA #book launch was tasty &amp; toasty at 💯 degrees in the heat wave https://t.co/8Zbp0o8Dh0,2017-09-04 13:31:11+00:00,,9.05E+17
88,@Portos Good morning all! Happy #laborday2017  my #sailing #comedy adventure #book @Amazon https://t.co/JLQHuyelsk,2017-09-04 16:52:10+00:00,,9.05E+17
89,The calm seas green flag is still up but we have to evacuate our beach now #IrmaGoAway #FortLauderdale https://t.co/48BqvsuJt1,2017-09-07 18:38:16+00:00,,9.06E+17
90,The water was still calm enough for a green flag today at the time of evacuation. #GoawayIrma #FortLauderdale https://t.co/1LH4dHVQqm,2017-09-07 19:45:52+00:00,,9.06E+17
91,Good luck to all @FortLauder_Buzz #Irma #readabook #Peace https://t.co/bewJTiajBb,2017-09-09 18:32:31+00:00,,9.07E+17
92,My captain is livecasting on @facebook #welcometomymyworld #Irma #Longeststormever,2017-09-10 16:27:48+00:00,,9.07E+17
93,Taking a break from #IrmaRecovery to share some news - the printed version of my book is NOW available on Amazon... https://t.co/GZow9OcwYe,2017-09-17 12:20:33+00:00,,9.09E+17
94,My friend said she heard that @tabletmag reviewed my book in the same issue with the bees story... trying to track down a  copy. Anyone?,2017-09-23 11:20:37+00:00,,9.12E+17
95,Yaaaaas! RT @ThatKevinSmith: FLORIDA! @JayMewes &amp; I are on our way to you via @JetBlue! Come see us GET OLD  https://t.co/pIalCGfWHo,2017-09-28 22:36:49+00:00,,9.14E+17
96,Welcome 2 #FL @ThatKevinSmith &amp; @JayMewes Kev you are in page 128 of my new book... I’ll try to get one to u tonight,2017-09-28 22:38:18+00:00,,9.14E+17
97,RT @iamcolinquinn: My new stand up hour is being called “the best one yet” and you’re not hearing that from me!,2018-05-19 00:02:37+00:00,,9.98E+17
98,@iamcolinquinn nice mtg u today. I’ll send you a book! Can’t wait to check out your new tour,2018-05-19 00:03:48+00:00,,9.98E+17
99,"Today’s need to know with @Bob_Iaccino:        
       
1️⃣ Stocks rebound 
2️⃣ Treasury Secretary Yellen, Fed Chair Powell testify 
3️⃣ Ahead:  Williams, Clarida speak; OPEC, jobless claims",2021-12-01 17:45:20+00:00,,1.47E+18
100,"E-mini NASDAQ-100 trades 1 standard deviation below its 5-day moving average
https://t.co/TCaIs9HZ2c",2021-12-01 20:11:41+00:00,,1.47E+18
101,"Copper trades up 1% from its previous close
https://t.co/VOtzQy0SUr",2021-12-02 14:46:39+00:00,,1.47E+18
102,Interested in Micro Ether futures (MET)? Join CME Group Dec. 7 to learn how to start trading our new contract. Register for our upcoming webinar: https://t.co/X0iJOSNMC9,2021-12-02 18:25:42+00:00,,1.47E+18
103,"Today’s need to know with @Bob_Iaccino:        
       
1️⃣ Stocks rebound amid underlying weakness 
2️⃣ Russia said to proposes crude oil production hike 
3️⃣ Ahead: Fed speakers, Lagarde, non-farm payrolls",2021-12-02 19:52:06+00:00,,1.47E+18
104,Concerns over the potential impact from the omicron variant may force global central bankers to adjust the timing and extent of interest rate hikes. Insights by @jimiuorio.,2021-12-02 21:00:00+00:00,,1.47E+18
105,"E-mini NASDAQ-100 trades 1 standard deviation below its 5-day moving average
https://t.co/ozBmh52Pbz",2021-12-03 15:49:46+00:00,,1.47E+18
106,"30yr US Treasury Bonds trades up 1% from its previous close
https://t.co/NTYGbAhbWd",2021-12-03 19:15:16+00:00,,1.47E+18
107,Micro Ether futures: the newest ingredient in the recipe for efficient crypto risk management. Add it to your portfolio mix starting December 6. https://t.co/WfyAtnKIkV https://t.co/E6uyRgE7Y1,2021-12-04 14:00:04+00:00,,1.47E+18
108,The newest member of the CME Group cryptocurrency product family has arrived. Micro Ether futures are available for trading. https://t.co/NSde3qvsti,2021-12-06 14:00:01+00:00,,1.47E+18
109,"Today’s need to know with @Bob_Iaccino:        
       
1️⃣ Equities rise, NQ lags 
2️⃣ Crude oil rallies 
3️⃣ Ahead: Biden speaks; EU, Chinese, U.S. data",2021-12-06 17:47:36+00:00,,1.47E+18
110,"Soybeans trades below its 50-day moving average
https://t.co/PNcWjs8z4f",2021-12-07 14:44:26+00:00,,1.47E+18
